"","regio","terulet","teles_fajszam","korrekcios_fajszam","gyujtesi_pontok_sz","egyedszam"
"NA","Podisul Mehedinti",801.602,0,0,0,0
"2","Muntii Rodnei si Maramuresului",9686.373,48,34,37,314
"3","Muntii Banatului",5245.411,24,19,7,76
"4","Muntii Parang - Retezat - Godeanu",12918.399,38,26,36,141
"5","Carpatii Apuseni",10665.316,50,35,50,325
"6","Carpatii Orientail si Curbui",23770.018,66,41,97,895
"7","Campia Deltica si Lagunara",4465.239,1,1,2,28
"8","Podisul Dobrogei",10154.561,14,10,11,134
"9","Campia Banato-Criseana",16175.829,10,7,5,26
"10","Podisul Moldovei",22929.852,7,4,5,16
"11","Piemontul Getic",13827,0,0,0,0
"12","Dealurile Banatului",4526.643,2,2,1,6
"13","Muntii Bucegi si Fagarasi",3974.721,42,34,32,178
"14","Campia Romana",48973.553,9,5,7,30
"15","Subcarpatii",16587.376,17,11,4,41
"16","Dealurile Crisanei",8295.516,20,15,13,37
"17","Podisul Somesului",5241.882,42,33,34,295
"18","Depresiunea Transilvaniei",20045.932,35,22,25,99
