"","regio","terulet","teles_fajszam","korrekcios_fajszam","gyujtesi_pontok_sz","egyedszam"
"NA","Podisu Mehedinti",801.629,0,0,0,0
"2","Campia Banato-Criseana",16176.378,10,7,5,26
"3","Carpatii Orientali",28275.24,75,45,122,1168
"4","Depresiunea Transilvaniei",25288.671,56,34,58,392
"5","Dealurile Crisanei",8295.798,20,15,13,37
"6","Carpatii Apuseni",10665.677,50,35,50,325
"7","Dealurile Banatului",4526.796,2,2,1,6
"8","Carpatii Banatului",7012.998,24,18,7,76
"9","Carpatii Meridionali",14176.296,55,37,53,258
"10","Carpatii de Curbura",6291.049,25,19,27,102
"11","Piemontul Getic",13827.468,0,0,0,0
"12","Campia Deltica si Lagunara",4465.39,1,1,2,28
"13","Podisul Dobrogei",10154.905,14,10,11,134
"14","Podisul Moldovei",22930.667,7,4,5,16
"15","Campia Romana",48975.211,9,5,7,30
"16","Subcarpatii",16429.28,17,11,4,41
